frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
743,79.0,"[np.float64(268.45863358970365), np.float64(799.4184176151575), np.float64(459.9286643985287), np.float64(1021.1079774330804)]","[324.52947998046875, 880.0636596679688, 390.10906982421875, 898.7609252929688]",89A-29893
744,59.0,"[np.float64(-6.857568863777317), np.float64(795.0255680043817), np.float64(355.26499123651723), np.float64(1024.7578169145809)]","[103.0264663696289, 983.0543212890625, 192.40469360351562, 1024.0]","34-A9
883.62"
745,59.0,"[np.float64(-6.259286299179536), np.float64(795.552599737365), np.float64(351.8531291211642), np.float64(1024.7517558362745)]","[100.1034927368164, 982.5037231445312, 187.12948608398438, 1024.0]","34-A9
8362"
745,79.0,"[np.float64(267.41977607910377), np.float64(799.9113840423229), np.float64(469.23923852124886), np.float64(1024.7634778530864)]","[334.1143493652344, 880.8970947265625, 398.8597106933594, 900.4681396484375]",89A-29853
746,59.0,"[np.float64(-5.706652416698006), np.float64(796.3809312003111), np.float64(348.02705578430823), np.float64(1024.8873980896287)]","[99.25581359863281, 982.49462890625, 184.02072143554688, 1023.86962890625]","34-A9
8362"
746,79.0,"[np.float64(267.5582882622551), np.float64(799.6651509935122), np.float64(474.37092033920857), np.float64(1025.8162231770084)]","[341.94622802734375, 882.2406005859375, 403.35491943359375, 902.5681762695312]",89A-229.853
747,59.0,"[np.float64(-5.2772004748755705), np.float64(797.4541506243064), np.float64(344.1195324814944), np.float64(1025.0597326849797)]","[99.61576843261719, 981.8912353515625, 181.3983917236328, 1024.0]","34-A9
8362"
747,79.0,"[np.float64(267.11488562500074), np.float64(800.2245361645662), np.float64(479.0841178551084), np.float64(1026.8433419512264)]","[342.92779541015625, 883.2763671875, 403.617431640625, 903.8013916015625]",89A2985935
748,59.0,"[np.float64(-4.327632264409601), np.float64(798.035340710339), np.float64(341.54778946392264), np.float64(1024.926417241592)]","[94.4163818359375, 984.1107177734375, 178.83840942382812, 1024.0]","34-A3
8362"
748,79.0,"[np.float64(267.22805030840584), np.float64(800.3181354752214), np.float64(483.72908633022723), np.float64(1027.82530525125)]","[341.068359375, 886.6041259765625, 409.5279846191406, 905.8941650390625]",89A-29893
749,59.0,"[np.float64(-4.566138025754697), np.float64(799.0641544688043), np.float64(337.2057005530218), np.float64(1025.0375618411124)]","[95.78548431396484, 984.0982666015625, 173.75840759277344, 1023.9931640625]","34-A8
8362"
750,79.0,"[np.float64(267.12477607538057), np.float64(801.0292321307827), np.float64(494.1240342399249), np.float64(1028.7496128580542)]","[352.547607421875, 889.8093872070312, 421.75872802734375, 907.7667846679688]",89A-29893
751,79.0,"[np.float64(267.7588373010909), np.float64(800.8911040015912), np.float64(499.56003540796917), np.float64(1028.561572661454)]","[358.0619812011719, 890.3525390625, 425.7030334472656, 909.0064697265625]",89A-29893
752,79.0,"[np.float64(267.7260373506433), np.float64(800.9328821089042), np.float64(505.8769281103831), np.float64(1028.5369194013153)]","[363.4622497558594, 891.0482177734375, 430.48577880859375, 909.595703125]",89A-29893
753,79.0,"[np.float64(268.3495632003175), np.float64(800.9795093906747), np.float64(511.7595357850084), np.float64(1028.4661529114624)]","[364.20306396484375, 891.72265625, 434.89739990234375, 910.9495849609375]",89A-29893
754,79.0,"[np.float64(267.30696436017547), np.float64(801.0411762376385), np.float64(516.7880290488289), np.float64(1028.3899622159313)]","[370.17437744140625, 893.02734375, 440.2137145996094, 912.7747802734375]",89A-29893
755,79.0,"[np.float64(266.0846647378489), np.float64(802.0201060805769), np.float64(521.9751634985006), np.float64(1028.7573255694206)]","[375.541748046875, 894.8982543945312, 446.96539306640625, 915.0763549804688]",89A-29893
756,79.0,"[np.float64(265.72494277028585), np.float64(802.9075213878874), np.float64(528.2564160502459), np.float64(1028.7738465696211)]","[381.284912109375, 896.5701904296875, 453.572998046875, 917.70556640625]",89A-29893
757,79.0,"[np.float64(266.1247760443846), np.float64(803.3420339887317), np.float64(535.5815189267352), np.float64(1028.59217000571)]","[386.99017333984375, 898.1472778320312, 457.365966796875, 919.3757934570312]",89A-29893
