frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
747,79,"64.0,64.0,64.0,64.0","342.92779541015625,883.2763671875,403.617431640625,903.8013916015625",89A-29893
748,79,"64.0,64.0,64.0,64.0","341.068359375,886.6041259765625,409.5279846191406,905.8941650390625",89A-29893
749,79,"64.0,64.0,64.0,64.0","346.8079833984375,888.2067565917969,415.6433563232422,906.8304748535156",89A-29893
750,79,"64.0,64.0,64.0,64.0","352.547607421875,889.8093872070312,421.75872802734375,907.7667846679688",89A-29893
751,79,"64.0,64.0,64.0,64.0","358.0619812011719,890.3525390625,425.7030334472656,909.0064697265625",89A-29893
752,79,"64.0,64.0,64.0,64.0","363.4622497558594,891.0482177734375,430.48577880859375,909.595703125",89A-29893
753,79,"64.0,64.0,64.0,64.0","364.20306396484375,891.72265625,434.89739990234375,910.9495849609375",89A-29893
754,79,"64.0,64.0,64.0,64.0","370.17437744140625,893.02734375,440.2137145996094,912.7747802734375",89A-29893
755,79,"64.0,64.0,64.0,64.0","375.541748046875,894.8982543945312,446.96539306640625,915.0763549804688",89A-29893
756,79,"64.0,64.0,64.0,64.0","381.284912109375,896.5701904296875,453.572998046875,917.70556640625",89A-29893
757,79,"64.0,64.0,64.0,64.0","386.99017333984375,898.1472778320312,457.365966796875,919.3757934570312",89A-29893
758,79,"64.0,64.0,64.0,64.0","391.22430419921875,901.3507690429688,461.9911193847656,921.4191284179688",89A-29893
759,79,"64.0,64.0,64.0,64.0","397.74810791015625,902.6721801757812,470.42877197265625,922.4210205078125",89A-29893
760,79,"64.0,64.0,64.0,64.0","400.95794677734375,903.4005737304688,475.75640869140625,924.9685668945312",89A-29893
761,79,"64.0,64.0,64.0,64.0","407.86920166015625,904.0863037109375,480.047119140625,925.7578125",89A-29893
762,79,"64.0,64.0,64.0,64.0","413.1011657714844,906.8043212890625,489.14080810546875,927.7957153320312",89A-29893
763,79,"64.0,64.0,64.0,64.0","420.5142517089844,907.5537109375,494.4847717285156,928.9896240234375",89A-29893
764,79,"64.0,64.0,64.0,64.0","424.3631896972656,908.2492065429688,501.67236328125,929.9337768554688",89A-29893
765,79,"64.0,64.0,64.0,64.0","428.18182373046875,908.9406127929688,505.474609375,931.0517578125",89A-29893
766,79,"64.0,64.0,64.0,64.0","435.5245056152344,909.0245971679688,512.5978393554688,931.8781127929688",89A-29893
767,79,"64.0,64.0,64.0,64.0","441.3662109375,910.7062377929688,518.8439331054688,932.4191284179688",89A-29893
768,79,"64.0,64.0,64.0,64.0","445.3861389160156,913.4285278320312,528.9573974609375,934.9439697265625",89A-29893
769,79,"64.0,64.0,64.0,64.0","451.4341735839844,913.7879638671875,536.3795166015625,935.38330078125",89A-29893
770,79,"64.0,64.0,64.0,64.0","457.3934631347656,915.7965087890625,539.4137573242188,936.4095458984375",89A-29893
771,79,"64.0,64.0,64.0,64.0","462.4291076660156,916.2258911132812,547.9158325195312,937.4719848632812",89A-29893
772,79,"64.0,64.0,64.0,64.0","472.7642517089844,917.9873046875,553.9794921875,937.6476440429688",89A-29893
